run_id,pair_id,source_name,target_name,source_vertices,source_edges,target_vertices,target_edges,candidate_rho,top_k,cost,cost_options,visual_range,visual_range_is_fixed,additive_feasible,bottleneck_feasible,empty_candidate_domains,total_candidates,minimum_candidates,median_candidates,maximum_candidates,treewidth,bags,maximum_bag_size,enumerated_states,feasible_states,message_entries,unique_cost_requests,load_graphs_seconds,prepare_matcher_seconds,solve_both_objectives_seconds,generate_figures_seconds,report,suite_name,summary_path,report_path,pair_category,pair_notes
1955e5_to_1955e3__discrete_frechet_distance__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,discrete_frechet_distance,{},"[0.0,30.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,11.099966699723154,3.8602573997341096,1955e5_to_1955e3\discrete_frechet_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\discrete_frechet_distance\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__dynamic_time_warping_distance__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,dynamic_time_warping_distance,{},"[0.0,15.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,2.3602833999320865,3.9773069000802934,1955e5_to_1955e3\dynamic_time_warping_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\dynamic_time_warping_distance\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__hausdorff_distance__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,hausdorff_distance,{},"[0.0,30.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,2.9947139001451433,2.2691983999684453,1955e5_to_1955e3\hausdorff_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\hausdorff_distance\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__log_length_distortion__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,log_length_distortion,{},"[0.0,1.0986122886681098]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,1.0959939998574555,2.35686290031299,1955e5_to_1955e3\log_length_distortion\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\log_length_distortion\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__mean_distance_tangent__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,mean_distance_tangent,{},"[0.0,6.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,6.284443899989128,2.3498156000860035,1955e5_to_1955e3\mean_distance_tangent\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\mean_distance_tangent\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__relative_length_error__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,relative_length_error,{},"[0.0,1.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,2.436798700131476,2.9035403998568654,1955e5_to_1955e3\relative_length_error\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\relative_length_error\report.json,same_year_scale_change,Reference production pair.
1955e5_to_1955e3__symmetric_corridor_exceedance__rho_10_0,1955e5_to_1955e3,1955e5,1955e3,70,103,371,581,10.0,25,symmetric_corridor_exceedance,{},"[0.0,1.0]",True,True,True,0,454,2,6.0,14,4,66,5,209687,209687,30645,4508,2.1973748998716474,0.7066346001811326,2.253178399987519,2.2290046997368336,1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\symmetric_corridor_exceedance\report.json,same_year_scale_change,Reference production pair.
1998e3_to_1955e3__relative_length_error__rho_12_5,1998e3_to_1955e3,1998e3,1955e3,321,509,371,581,12.5,25,relative_length_error,{},"[0.0,1.0]",True,True,True,0,2210,2,6.0,17,5,316,6,5927186,5927186,547849,25227,2.48550509987399,0.22642630012705922,51.96719769993797,2.5915382001549006,1998e3_to_1955e3_rho12_5\relative_length_error\report.json,rho_screen_12_5,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\rho_screen_12_5\1998e3_to_1955e3_rho12_5\relative_length_error\report.json,cross_year_dense_stress,Cautious retry after two empty domains at rho=10.
1998e5_to_1998e3__discrete_frechet_distance__rho_10_0,1998e5_to_1998e3,1998e5,1998e3,54,78,321,509,10.0,25,discrete_frechet_distance,{},"[0.0,30.0]",True,True,True,0,339,2,6.0,13,4,51,5,71354,71354,10265,3233,1.8347225999459624,0.5439014998264611,7.968429800122976,2.3494357001036406,1998e5_to_1998e3\discrete_frechet_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\discrete_frechet_distance\report.json,same_year_scale_change,Same-year scale comparison for 1998.
1998e5_to_1998e3__dynamic_time_warping_distance__rho_10_0,1998e5_to_1998e3,1998e5,1998e3,54,78,321,509,10.0,25,dynamic_time_warping_distance,{},"[0.0,15.0]",True,True,True,0,339,2,6.0,13,4,51,5,71354,71354,10265,3233,1.8347225999459624,0.5439014998264611,0.994197899941355,2.3365503000095487,1998e5_to_1998e3\dynamic_time_warping_distance\report.json,confirmed_pairs,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\confirmed_pairs\1998e5_to_1998e3\dynamic_time_warping_distance\report.json,same_year_scale_change,Same-year scale comparison for 1998.
