run_id,pair_id,cost,objective,feasible,objective_value,mapped_vertices,materialized_witnesses,local_cost_minimum,local_cost_q25,local_cost_median,local_cost_positive_median,local_cost_mean,local_cost_q75,local_cost_maximum,local_cost_standard_deviation,zero_cost_edges,zero_cost_fraction,positive_cost_edges,figures,report,suite_name,summary_path,report_path,mapping_hash,local_cost_sum
1955e5_to_1955e3__discrete_frechet_distance__rho_10_0,1955e5_to_1955e3,discrete_frechet_distance,additive,True,119.21633134936793,70,103,0.0,0.0,0.0,5.341829966621013,1.1574401101880383,0.0,26.392744675939873,3.4777450972097523,86,0.8349514563106796,17,"{""cost_distribution"":""1955e5_to_1955e3\\discrete_frechet_distance\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\discrete_frechet_distance\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\discrete_frechet_distance\\additive_overview.png""}",1955e5_to_1955e3\discrete_frechet_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\discrete_frechet_distance\report.json,427480aa4e2c6d03011088439d810a5c4ee37ee099b1dad512aa42aaf8581f8e,119.21633134936793
1955e5_to_1955e3__discrete_frechet_distance__rho_10_0,1955e5_to_1955e3,discrete_frechet_distance,bottleneck,True,25.52327646920268,70,103,0.0,0.0,9.433981132056603,11.40175425099138,7.891456623805317,13.601470508735444,25.52327646920268,6.85636483063315,34,0.3300970873786408,69,"{""cost_distribution"":""1955e5_to_1955e3\\discrete_frechet_distance\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\discrete_frechet_distance\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\discrete_frechet_distance\\bottleneck_overview.png""}",1955e5_to_1955e3\discrete_frechet_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\discrete_frechet_distance\report.json,ecea89c0f7bdac0c958dce85e51696a1542d93dde4db78463fd3b1b3bb0647b1,812.8200322519477
1955e5_to_1955e3__dynamic_time_warping_distance__rho_10_0,1955e5_to_1955e3,dynamic_time_warping_distance,additive,True,58.26183243049417,70,103,0.0,0.0,0.0,2.8456768865768365,0.565648858548487,0.0,12.432066402495272,1.7088004009981266,86,0.8349514563106796,17,"{""cost_distribution"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\additive_overview.png""}",1955e5_to_1955e3\dynamic_time_warping_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\dynamic_time_warping_distance\report.json,427480aa4e2c6d03011088439d810a5c4ee37ee099b1dad512aa42aaf8581f8e,58.26183243049417
1955e5_to_1955e3__dynamic_time_warping_distance__rho_10_0,1955e5_to_1955e3,dynamic_time_warping_distance,bottleneck,True,12.00382072780888,70,103,0.0,0.0,0.0,3.699503251384177,1.8655728882208473,3.4988369948828497,12.00382072780888,2.494148254357836,52,0.5048543689320388,51,"{""cost_distribution"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\dynamic_time_warping_distance\\bottleneck_overview.png""}",1955e5_to_1955e3\dynamic_time_warping_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\dynamic_time_warping_distance\report.json,8d95010eb4facc0fa84ea3b3d7bc8131df532f7f6afecb9ca4c10f5c2a26a4a8,192.15400748674728
1955e5_to_1955e3__hausdorff_distance__rho_10_0,1955e5_to_1955e3,hausdorff_distance,additive,True,117.32333249791212,70,103,0.0,0.0,0.0,5.385164807134504,1.1390614805622536,0.0,26.92582403567252,3.4744022482053336,86,0.8349514563106796,17,"{""cost_distribution"":""1955e5_to_1955e3\\hausdorff_distance\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\hausdorff_distance\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\hausdorff_distance\\additive_overview.png""}",1955e5_to_1955e3\hausdorff_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\hausdorff_distance\report.json,427480aa4e2c6d03011088439d810a5c4ee37ee099b1dad512aa42aaf8581f8e,117.32333249791212
1955e5_to_1955e3__hausdorff_distance__rho_10_0,1955e5_to_1955e3,hausdorff_distance,bottleneck,True,23.345235059857504,70,103,0.0,0.0,7.0710678118654755,10.295630140987,7.12459080721098,11.852349955359813,23.345235059857504,6.185436387639349,32,0.3106796116504854,71,"{""cost_distribution"":""1955e5_to_1955e3\\hausdorff_distance\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\hausdorff_distance\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\hausdorff_distance\\bottleneck_overview.png""}",1955e5_to_1955e3\hausdorff_distance\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\hausdorff_distance\report.json,af47cd8f1e90f4ba7642e18b691357aedf329bfb5786f2b6c5c3fb059f1101f0,733.8328531427311
1955e5_to_1955e3__log_length_distortion__rho_10_0,1955e5_to_1955e3,log_length_distortion,additive,True,4.176008071316579,70,103,0.0,0.0,0.0,0.07592459141948953,0.04054376768268523,0.016826131791824756,0.7415082522533664,0.10719688783772821,75,0.7281553398058253,28,"{""cost_distribution"":""1955e5_to_1955e3\\log_length_distortion\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\log_length_distortion\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\log_length_distortion\\additive_overview.png""}",1955e5_to_1955e3\log_length_distortion\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\log_length_distortion\report.json,4161d4f4b7ad3b66bfb636ee95a93f0fa82c55954e28081eead4879d90c745cf,4.176008071316578
1955e5_to_1955e3__log_length_distortion__rho_10_0,1955e5_to_1955e3,log_length_distortion,bottleneck,True,0.47633944769482134,70,103,0.0,0.0,0.07796154146971192,0.14576874945710483,0.1210782242565917,0.22025644406747474,0.47633944769482134,0.1320520419160137,33,0.32038834951456313,70,"{""cost_distribution"":""1955e5_to_1955e3\\log_length_distortion\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\log_length_distortion\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\log_length_distortion\\bottleneck_overview.png""}",1955e5_to_1955e3\log_length_distortion\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\log_length_distortion\report.json,49281e0044e80f6bc311dcc2eaf18658eac2efd36da33039454398677d55120a,12.471057098428945
1955e5_to_1955e3__mean_distance_tangent__rho_10_0,1955e5_to_1955e3,mean_distance_tangent,additive,True,30.906025429593214,70,103,0.0,0.0,0.0,0.2925651620239071,0.300058499316439,0.015625000000000003,5.5082047540651615,0.8886966793826966,70,0.6796116504854369,33,"{""cost_distribution"":""1955e5_to_1955e3\\mean_distance_tangent\\additive_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\mean_distance_tangent\\additive_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\mean_distance_tangent\\additive_overview.png""}",1955e5_to_1955e3\mean_distance_tangent\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\mean_distance_tangent\report.json,6575e61621235636a5f7541578b89df71239214776dc647ab8573d276fb676e8,30.906025429593218
1955e5_to_1955e3__mean_distance_tangent__rho_10_0,1955e5_to_1955e3,mean_distance_tangent,bottleneck,True,5.376119686460603,70,103,0.0,0.0,0.33231439407061375,0.8580795210477667,0.8881977945960721,1.2489219858684486,5.376119686460603,1.2677373438896038,32,0.3106796116504854,71,"{""cost_distribution"":""1955e5_to_1955e3\\mean_distance_tangent\\bottleneck_cost_distribution.png"",""edge_details"":""1955e5_to_1955e3\\mean_distance_tangent\\bottleneck_best_median_positive_worst.png"",""overview"":""1955e5_to_1955e3\\mean_distance_tangent\\bottleneck_overview.png""}",1955e5_to_1955e3\mean_distance_tangent\report.json,thesis_main_experiments_v2,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\suite_summary.json,C:\Users\Kishan\Documents\University\Thesis\River-Matcher\experiment_results\thesis_main_experiments_v2\1955e5_to_1955e3\mean_distance_tangent\report.json,360f460683a66561fde97bc2abd2cffb31f9c3e14ed28af56dc8579acd12d50f,91.4843728433954
