pair_id,cost,objective,materialized_witnesses,zero_cost_edges,zero_cost_fraction,positive_cost_edges,local_cost_positive_median,local_cost_maximum
1955e5_to_1955e3,discrete_frechet_distance,additive,103,86,0.8349514563106796,17,5.341829966621013,26.392744675939873
1955e5_to_1955e3,discrete_frechet_distance,bottleneck,103,34,0.3300970873786408,69,11.40175425099138,25.52327646920268
1955e5_to_1955e3,dynamic_time_warping_distance,additive,103,86,0.8349514563106796,17,2.8456768865768365,12.432066402495272
1955e5_to_1955e3,dynamic_time_warping_distance,bottleneck,103,52,0.5048543689320388,51,3.699503251384177,12.00382072780888
1955e5_to_1955e3,hausdorff_distance,additive,103,86,0.8349514563106796,17,5.385164807134504,26.92582403567252
1955e5_to_1955e3,hausdorff_distance,bottleneck,103,32,0.3106796116504854,71,10.295630140987,23.345235059857504
1955e5_to_1955e3,log_length_distortion,additive,103,75,0.7281553398058253,28,0.07592459141948953,0.7415082522533664
1955e5_to_1955e3,log_length_distortion,bottleneck,103,33,0.32038834951456313,70,0.14576874945710483,0.47633944769482134
1955e5_to_1955e3,mean_distance_tangent,additive,103,70,0.6796116504854369,33,0.2925651620239071,5.5082047540651615
1955e5_to_1955e3,mean_distance_tangent,bottleneck,103,32,0.3106796116504854,71,0.8580795210477667,5.376119686460603
1955e5_to_1955e3,relative_length_error,additive,103,76,0.7378640776699029,27,0.06451612903225812,0.5236051502145922
1955e5_to_1955e3,relative_length_error,bottleneck,103,44,0.42718446601941745,59,0.11864406779661008,0.4377682403433476
1955e5_to_1955e3,symmetric_corridor_exceedance,additive,103,101,0.9805825242718447,2,0.05525065508467197,0.1074619059207471
1955e5_to_1955e3,symmetric_corridor_exceedance,bottleneck,103,71,0.6893203883495146,32,0.007184760747461878,0.09976215823767516
1998e3_to_1955e3,relative_length_error,additive,509,39,0.07662082514734773,470,0.35294117647058826,20.666666666666668
1998e3_to_1955e3,relative_length_error,bottleneck,509,7,0.0137524557956778,502,0.8144519289650949,20.666666666666668
1998e5_to_1998e3,discrete_frechet_distance,additive,78,64,0.8205128205128205,14,5.53878213815076,9.785466467851663
1998e5_to_1998e3,discrete_frechet_distance,bottleneck,78,36,0.46153846153846156,42,4.401571751904956,9.693020608978266
1998e5_to_1998e3,dynamic_time_warping_distance,additive,78,62,0.7948717948717948,16,1.7769113233136027,5.809602579718631
1998e5_to_1998e3,dynamic_time_warping_distance,bottleneck,78,27,0.34615384615384615,51,1.928204314772293,5.809602579718631
1998e5_to_1998e3,hausdorff_distance,additive,78,64,0.8205128205128205,14,5.5,10.0
1998e5_to_1998e3,hausdorff_distance,bottleneck,78,38,0.48717948717948717,40,4.47213595499958,10.0
1998e5_to_1998e3,log_length_distortion,additive,78,58,0.7435897435897436,20,0.08116288371710172,0.3190982686851599
1998e5_to_1998e3,log_length_distortion,bottleneck,78,24,0.3076923076923077,54,0.1136824154181669,0.3190982686851599
1998e5_to_1998e3,mean_distance_tangent,additive,78,45,0.5769230769230769,33,0.12145717535497279,3.9091767445237653
1998e5_to_1998e3,mean_distance_tangent,bottleneck,78,20,0.2564102564102564,58,0.6280868714941974,2.6747381398867667
1998e5_to_1998e3,relative_length_error,additive,78,59,0.7564102564102564,19,0.05649717514124297,0.44680851063829785
1998e5_to_1998e3,relative_length_error,bottleneck,78,31,0.3974358974358974,47,0.1063829787234043,0.2731958762886598
1998e5_to_1998e3,symmetric_corridor_exceedance,additive,78,78,1.0,0,,0.0
1998e5_to_1998e3,symmetric_corridor_exceedance,bottleneck,78,78,1.0,0,,0.0
2014e5_to_1955e3,discrete_frechet_distance,additive,74,0,0.0,74,11.851749184241449,30.1769201618726
2014e5_to_1955e3,discrete_frechet_distance,bottleneck,74,0,0.0,74,19.666992254898325,30.1769201618726
2014e5_to_1955e3,dynamic_time_warping_distance,additive,74,0,0.0,74,6.576113674999822,27.800940720038298
2014e5_to_1955e3,dynamic_time_warping_distance,bottleneck,74,0,0.0,74,10.892462438110599,25.499228131746523
2014e5_to_1955e3,hausdorff_distance,additive,74,0,0.0,74,11.661903789690601,28.792360097775937
2014e5_to_1955e3,hausdorff_distance,bottleneck,74,0,0.0,74,19.716560564227613,28.792360097775937
2014e5_to_1955e3,log_length_distortion,additive,74,2,0.02702702702702703,72,0.12636332267438655,1.1557707025080584
2014e5_to_1955e3,log_length_distortion,bottleneck,74,1,0.013513513513513514,73,0.25782910930209985,1.1557707025080584
2014e5_to_1955e3,mean_distance_tangent,additive,74,0,0.0,74,4.099758386103593,14.396752502255268
2014e5_to_1955e3,mean_distance_tangent,bottleneck,74,0,0.0,74,4.9635994292014685,13.908859306644423
2014e5_to_1955e3,relative_length_error,additive,74,2,0.02702702702702703,72,0.13882254597563892,2.176470588235294
2014e5_to_1955e3,relative_length_error,bottleneck,74,1,0.013513513513513514,73,0.2784810126582278,2.176470588235294
2014e5_to_1955e3,symmetric_corridor_exceedance,additive,74,25,0.33783783783783783,49,0.015222275651613559,0.5691505982539453
2014e5_to_1955e3,symmetric_corridor_exceedance,bottleneck,74,6,0.08108108108108109,68,0.06505638214378787,0.5267043197409973
2014e5_to_1955e5,discrete_frechet_distance,additive,74,0,0.0,74,23.015330645636734,84.92938243034621
2014e5_to_1955e5,discrete_frechet_distance,bottleneck,74,0,0.0,74,40.643208200271935,84.92938243034621
2014e5_to_1955e5,dynamic_time_warping_distance,additive,74,0,0.0,74,13.28173966522882,63.73985011458204
2014e5_to_1955e5,dynamic_time_warping_distance,bottleneck,74,0,0.0,74,21.97762274565541,56.95507772328108
2014e5_to_1955e5,hausdorff_distance,additive,74,0,0.0,74,19.83247228513209,84.92938243034621
2014e5_to_1955e5,hausdorff_distance,bottleneck,74,0,0.0,74,36.242050830886285,84.92938243034621
