source,target,rho,candidate_mode,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,empty_domains,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,elapsed_seconds,status,error
1955e11,1955e3,10.0,target_junctions,25,2,8,1.0,371,581,0,6,2,4,8,8,1.846355,ok,
1955e11,1955e3,10.0,original_target_vertices,25,2,8,1.0,4489,4703,0,23,8,15,120,120,10.583211,ok,
1955e11,1955e3,10.0,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,6,1,5,5,5,0.499438,ok,
1955e11,1955e3,10.0,adaptive_closest_points,25,2,8,1.0,372,582,0,4,1,3,3,3,0.219790,ok,
1955e11,1955e3,12.5,target_junctions,25,2,8,1.0,371,581,0,6,2,4,8,8,0.140517,ok,
1955e11,1955e3,12.5,original_target_vertices,25,2,8,1.0,4489,4703,0,30,12,18,216,216,0.512137,ok,
1955e11,1955e3,12.5,uniform_target_subdivision,25,2,8,1.0,1533,1743,0,7,2,5,10,10,0.529449,ok,
1955e11,1955e3,12.5,adaptive_closest_points,25,2,8,1.0,372,582,0,4,1,3,3,3,0.196334,ok,
1955e11,1955e5,10.0,target_junctions,25,2,8,1.0,70,103,0,6,2,4,8,8,0.040690,ok,
1955e11,1955e5,10.0,original_target_vertices,25,2,8,1.0,2828,2861,0,23,8,15,120,120,5.752375,ok,
1955e11,1955e5,10.0,uniform_target_subdivision,25,2,8,1.0,276,309,0,5,1,4,4,4,0.111028,ok,
1955e11,1955e5,10.0,adaptive_closest_points,25,2,8,1.0,71,104,0,4,1,3,3,3,0.064008,ok,
1955e11,1955e5,12.5,target_junctions,25,2,8,1.0,70,103,0,6,2,4,8,8,0.028444,ok,
1955e11,1955e5,12.5,original_target_vertices,25,2,8,1.0,2828,2861,0,30,12,18,216,216,0.316234,ok,
1955e11,1955e5,12.5,uniform_target_subdivision,25,2,8,1.0,276,309,0,6,2,4,8,8,0.155304,ok,
1955e11,1955e5,12.5,adaptive_closest_points,25,2,8,1.0,71,104,0,4,1,3,3,3,0.066917,ok,
1955e11,1955e7,10.0,target_junctions,25,2,8,1.0,8,9,0,4,2,2,4,4,0.004625,ok,
1955e11,1955e7,10.0,original_target_vertices,25,2,8,1.0,1334,1335,0,20,8,12,96,96,1.763707,ok,
1955e11,1955e7,10.0,uniform_target_subdivision,25,2,8,1.0,26,27,0,2,1,1,1,1,0.026082,ok,
1955e11,1955e7,10.0,adaptive_closest_points,25,2,8,1.0,8,9,0,2,1,1,1,1,0.012268,ok,
1955e11,1955e7,12.5,target_junctions,25,2,8,1.0,8,9,0,4,2,2,4,4,0.002893,ok,
1955e11,1955e7,12.5,original_target_vertices,25,2,8,1.0,1334,1335,0,25,12,13,156,156,0.197122,ok,
1955e11,1955e7,12.5,uniform_target_subdivision,25,2,8,1.0,26,27,0,2,1,1,1,1,0.030882,ok,
1955e11,1955e7,12.5,adaptive_closest_points,25,2,8,1.0,8,9,0,2,1,1,1,1,0.012585,ok,
1955e11,1998e3,10.0,target_junctions,25,2,8,1.0,321,509,0,5,2,3,6,6,0.125426,ok,
1955e11,1998e3,10.0,original_target_vertices,25,2,8,1.0,4322,4511,0,12,5,7,35,35,3.811162,ok,
1955e11,1998e3,10.0,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,5,2,3,6,6,0.407077,ok,
1955e11,1998e3,10.0,adaptive_closest_points,25,2,8,1.0,323,511,0,4,1,3,3,3,0.171840,ok,
1955e11,1998e3,12.5,target_junctions,25,2,8,1.0,321,509,0,7,2,5,10,10,0.127651,ok,
1955e11,1998e3,12.5,original_target_vertices,25,2,8,1.0,4322,4511,0,18,7,11,77,77,0.411150,ok,
1955e11,1998e3,12.5,uniform_target_subdivision,25,2,8,1.0,1339,1527,0,8,2,6,12,12,0.422724,ok,
1955e11,1998e3,12.5,adaptive_closest_points,25,2,8,1.0,323,511,0,5,1,4,4,4,0.224726,ok,
1955e11,1998e5,10.0,target_junctions,25,2,8,1.0,54,78,0,4,2,2,4,4,0.021470,ok,
1955e11,1998e5,10.0,original_target_vertices,25,2,8,1.0,2353,2377,0,12,5,7,35,35,2.667029,ok,
1955e11,1998e5,10.0,uniform_target_subdivision,25,2,8,1.0,210,234,0,2,1,1,1,1,0.087972,ok,
1955e11,1998e5,10.0,adaptive_closest_points,25,2,8,1.0,55,79,0,3,1,2,2,2,0.051479,ok,
1955e11,1998e5,12.5,target_junctions,25,2,8,1.0,54,78,0,4,2,2,4,4,0.020909,ok,
1955e11,1998e5,12.5,original_target_vertices,25,2,8,1.0,2353,2377,0,15,7,8,56,56,0.262755,ok,
1955e11,1998e5,12.5,uniform_target_subdivision,25,2,8,1.0,210,234,0,2,1,1,1,1,0.087530,ok,
1955e11,1998e5,12.5,adaptive_closest_points,25,2,8,1.0,55,79,0,3,1,2,2,2,0.053529,ok,
1955e11,1998e7,10.0,target_junctions,25,2,8,1.0,14,18,1,2,0,2,0,0,0.005575,ok,
1955e11,1998e7,10.0,original_target_vertices,25,2,8,1.0,1545,1549,1,7,0,7,0,0,1.936213,ok,
1955e11,1998e7,10.0,uniform_target_subdivision,25,2,8,1.0,50,54,1,1,0,1,0,0,0.034982,ok,
1955e11,1998e7,10.0,adaptive_closest_points,25,2,8,1.0,15,19,1,2,0,2,0,0,0.031358,ok,
1955e11,1998e7,12.5,target_junctions,25,2,8,1.0,14,18,1,2,0,2,0,0,0.006007,ok,
1955e11,1998e7,12.5,original_target_vertices,25,2,8,1.0,1545,1549,1,8,0,8,0,0,0.217606,ok,
1955e11,1998e7,12.5,uniform_target_subdivision,25,2,8,1.0,50,54,1,1,0,1,0,0,0.040804,ok,
1955e11,1998e7,12.5,adaptive_closest_points,25,2,8,1.0,15,19,1,2,0,2,0,0,0.030949,ok,
1955e11,2014e3,10.0,target_junctions,25,2,8,1.0,317,493,0,6,2,4,8,8,0.124787,ok,
1955e11,2014e3,10.0,original_target_vertices,25,2,8,1.0,4059,4236,0,16,7,9,63,63,3.953838,ok,
1955e11,2014e3,10.0,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,10,3,7,21,21,0.379715,ok,
1955e11,2014e3,10.0,adaptive_closest_points,25,2,8,1.0,321,497,0,8,2,6,12,12,0.165316,ok,
1955e11,2014e3,12.5,target_junctions,25,2,8,1.0,317,493,0,8,4,4,16,16,0.130308,ok,
1955e11,2014e3,12.5,original_target_vertices,25,2,8,1.0,4059,4236,0,18,8,10,80,80,0.385896,ok,
1955e11,2014e3,12.5,uniform_target_subdivision,25,2,8,1.0,1303,1479,0,11,4,7,28,28,0.396186,ok,
1955e11,2014e3,12.5,adaptive_closest_points,25,2,8,1.0,321,497,0,9,3,6,18,18,0.181216,ok,
1955e11,2014e5,10.0,target_junctions,25,2,8,1.0,51,74,1,2,0,2,0,0,0.028246,ok,
1955e11,2014e5,10.0,original_target_vertices,25,2,8,1.0,2366,2389,1,7,0,7,0,0,2.814611,ok,
1955e11,2014e5,10.0,uniform_target_subdivision,25,2,8,1.0,199,222,1,2,0,2,0,0,0.083905,ok,
1955e11,2014e5,10.0,adaptive_closest_points,25,2,8,1.0,52,75,1,2,0,2,0,0,0.047997,ok,
1955e11,2014e5,12.5,target_junctions,25,2,8,1.0,51,74,1,2,0,2,0,0,0.021391,ok,
1955e11,2014e5,12.5,original_target_vertices,25,2,8,1.0,2366,2389,1,8,0,8,0,0,0.268776,ok,
