candidate_semantics,source,target,source_vertices,source_edges,target_junction_vertices,target_junction_edges,candidate_mode,minimum_rho,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,search_seconds,status
baseline_junctions_plus_mode_additions_v2,1955e11,1955e3,2,1,371,581,target_junctions,0,25,2,8,1.0,371,581,4,2,2,4,4,3.664871,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e3,2,1,371,581,original_target_vertices,0,25,2,8,1.0,4489,4703,4,2,2,4,4,0.032784,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e3,2,1,371,581,uniform_target_subdivision,0,25,2,8,1.0,1533,1743,4,2,2,4,4,0.024124,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e3,2,1,371,581,adaptive_closest_points,0,25,2,8,1.0,371,581,4,2,2,4,4,0.098803,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e5,2,1,70,103,target_junctions,0,25,2,8,1.0,70,103,4,2,2,4,4,0.011895,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e5,2,1,70,103,original_target_vertices,0,25,2,8,1.0,2828,2861,4,2,2,4,4,0.010820,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e5,2,1,70,103,uniform_target_subdivision,0,25,2,8,1.0,276,309,4,2,2,4,4,0.006182,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e5,2,1,70,103,adaptive_closest_points,0,25,2,8,1.0,70,103,4,2,2,4,4,0.025564,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e7,2,1,8,9,target_junctions,0,25,2,8,1.0,8,9,4,2,2,4,4,0.002079,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e7,2,1,8,9,original_target_vertices,0,25,2,8,1.0,1334,1335,4,2,2,4,4,0.004560,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e7,2,1,8,9,uniform_target_subdivision,0,25,2,8,1.0,26,27,4,2,2,4,4,0.001862,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1955e7,2,1,8,9,adaptive_closest_points,0,25,2,8,1.0,8,9,4,2,2,4,4,0.039417,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e3,2,1,321,509,target_junctions,0.5,25,2,8,1.0,321,509,4,2,2,4,4,0.817448,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e3,2,1,321,509,original_target_vertices,0.5,25,2,8,1.0,4322,4511,5,2,3,6,6,0.936655,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e3,2,1,321,509,uniform_target_subdivision,0.5,25,2,8,1.0,1339,1527,4,2,2,4,4,0.711442,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e3,2,1,321,509,adaptive_closest_points,0.5,25,2,8,1.0,322,510,5,2,3,6,6,1.523580,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e5,2,1,54,78,target_junctions,0.5,25,2,8,1.0,54,78,4,2,2,4,4,0.128159,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e5,2,1,54,78,original_target_vertices,0.5,25,2,8,1.0,2353,2377,5,2,3,6,6,0.213998,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e5,2,1,54,78,uniform_target_subdivision,0.5,25,2,8,1.0,210,234,4,2,2,4,4,0.118816,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e5,2,1,54,78,adaptive_closest_points,0.5,25,2,8,1.0,55,79,5,2,3,6,6,0.486462,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e7,2,1,14,18,target_junctions,25,25,2,8,1.0,14,18,4,2,2,4,4,0.064796,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e7,2,1,14,18,original_target_vertices,25,25,2,8,1.0,1545,1549,18,2,16,32,32,0.168890,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e7,2,1,14,18,uniform_target_subdivision,25,25,2,8,1.0,50,54,4,2,2,4,4,0.066567,ok
baseline_junctions_plus_mode_additions_v2,1955e11,1998e7,2,1,14,18,adaptive_closest_points,25,25,2,8,1.0,16,20,6,3,3,9,9,1.902181,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e3,2,1,317,493,target_junctions,1.119,25,2,8,1.0,317,493,4,2,2,4,4,0.779994,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e3,2,1,317,493,original_target_vertices,1.119,25,2,8,1.0,4059,4236,6,3,3,9,9,1.063510,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e3,2,1,317,493,uniform_target_subdivision,1.119,25,2,8,1.0,1303,1479,4,2,2,4,4,0.776010,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e3,2,1,317,493,adaptive_closest_points,1.119,25,2,8,1.0,319,495,6,3,3,9,9,3.310399,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e5,2,1,51,74,target_junctions,24.047,25,2,8,1.0,51,74,5,2,3,6,6,0.198043,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e5,2,1,51,74,original_target_vertices,24.047,25,2,8,1.0,2366,2389,29,3,26,78,78,0.355291,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e5,2,1,51,74,uniform_target_subdivision,24.047,25,2,8,1.0,199,222,7,2,5,10,10,0.207379,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e5,2,1,51,74,adaptive_closest_points,24.047,25,2,8,1.0,54,77,8,3,5,15,15,2.616187,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e7,2,1,12,15,target_junctions,24.047,25,2,8,1.0,12,15,4,2,2,4,4,0.064652,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e7,2,1,12,15,original_target_vertices,24.047,25,2,8,1.0,1618,1621,19,3,16,48,48,0.172232,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e7,2,1,12,15,uniform_target_subdivision,24.047,25,2,8,1.0,42,45,4,2,2,4,4,0.058912,ok
baseline_junctions_plus_mode_additions_v2,1955e11,2014e7,2,1,12,15,adaptive_closest_points,24.047,25,2,8,1.0,14,17,6,3,3,9,9,1.874196,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1955e3,70,103,371,581,target_junctions,0,25,2,8,1.0,371,581,289,2,6,25182,1920,0.087781,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1955e3,70,103,371,581,original_target_vertices,0,25,2,8,1.0,4489,4703,289,2,6,25182,1920,0.187690,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1955e3,70,103,371,581,uniform_target_subdivision,0,25,2,8,1.0,1533,1743,289,2,6,25182,1920,0.072273,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1955e3,70,103,371,581,adaptive_closest_points,0,25,2,8,1.0,389,599,307,2,6,34521,3000,0.758091,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1998e3,70,103,321,509,target_junctions,7,25,2,8,1.0,321,509,290,2,9,21601,3456,1.372776,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1998e3,70,103,321,509,original_target_vertices,7,25,2,8,1.0,4322,4511,775,2,37,7448942,2717280,2.721602,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1998e3,70,103,321,509,uniform_target_subdivision,7,25,2,8,1.0,1339,1527,455,2,19,247923,76950,1.922626,ok
baseline_junctions_plus_mode_additions_v2,1955e5,1998e3,70,103,321,509,adaptive_closest_points,7,25,2,8,1.0,478,666,460,2,13,226957,52650,14.804782,ok
baseline_junctions_plus_mode_additions_v2,1955e5,2014e3,70,103,317,493,target_junctions,6.801,25,2,8,1.0,317,493,258,2,7,26151,5400,1.426028,ok
baseline_junctions_plus_mode_additions_v2,1955e5,2014e3,70,103,317,493,original_target_vertices,6.801,25,2,8,1.0,4059,4236,718,2,33,3067961,630000,2.762379,ok
baseline_junctions_plus_mode_additions_v2,1955e5,2014e3,70,103,317,493,uniform_target_subdivision,6.801,25,2,8,1.0,1303,1479,387,2,13,200137,48510,1.952592,ok
baseline_junctions_plus_mode_additions_v2,1955e5,2014e3,70,103,317,493,adaptive_closest_points,6.801,25,2,8,1.0,448,624,399,2,14,172703,41580,13.823806,ok
baseline_junctions_plus_mode_additions_v2,1955e7,1955e3,8,9,371,581,target_junctions,0,25,2,8,1.0,371,581,27,2,5,138,80,0.059916,ok
baseline_junctions_plus_mode_additions_v2,1955e7,1955e3,8,9,371,581,original_target_vertices,0,25,2,8,1.0,4489,4703,27,2,5,138,80,0.082256,ok
baseline_junctions_plus_mode_additions_v2,1955e7,1955e3,8,9,371,581,uniform_target_subdivision,0,25,2,8,1.0,1533,1743,27,2,5,138,80,0.029083,ok
baseline_junctions_plus_mode_additions_v2,1955e7,1955e3,8,9,371,581,adaptive_closest_points,0,25,2,8,1.0,373,583,29,2,5,189,125,0.273995,ok
baseline_junctions_plus_mode_additions_v2,1955e7,1955e5,8,9,70,103,target_junctions,0,25,2,8,1.0,70,103,26,2,4,120,64,0.011174,ok
