source,target,rho,cost,aggregation,candidate_mode,status,objective_value,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,mapping_changed_vs_target_junctions,changed_source_vertices,source_vertices,changed_source_fraction,mean_mapped_point_displacement,maximum_mapped_point_displacement,coordinate_tolerance,elapsed_seconds,error
1998e5,2014e3,16.0,discrete_frechet_distance,additive,target_junctions,ok,785.612902163,413,2,14,108989,False,0,54,0,0,0,1e-06,9.393698,
1998e5,2014e3,16.0,discrete_frechet_distance,additive,original_target_vertices,state_limit,,1921,2,75,76991443,,,54,,,,1e-06,0.586739,
1998e5,2014e3,16.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,697.795694288,851,2,30,1830875,True,36,54,0.666666666667,4.7142582738,14.6666666667,1e-06,46.502780,
1998e5,2014e3,16.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,645.11206905,652,2,21,681703,True,44,54,0.814814814815,4.48636589466,14,1e-06,23.909602,
1998e3,1955e3,13.0,discrete_frechet_distance,additive,target_junctions,ok,6322.7031728,2277,2,17,7029804,False,0,321,0,0,0,1e-06,94.991132,
1998e3,1955e3,13.0,discrete_frechet_distance,additive,original_target_vertices,state_limit,,9849,2,86,30071881330,,,321,,,,1e-06,0.751975,
1998e3,1955e3,13.0,discrete_frechet_distance,additive,uniform_target_subdivision,state_limit,,4729,2,49,601354831,,,321,,,,1e-06,0.654448,
1998e3,1955e3,13.0,discrete_frechet_distance,additive,adaptive_closest_points,state_limit,,4293,2,25,124774727,,,321,,,,1e-06,3.360943,
1998e5,1955e3,13.0,discrete_frechet_distance,additive,target_junctions,ok,896.091057661,395,2,17,158370,False,0,54,0,0,0,1e-06,10.055722,
1998e5,1955e3,13.0,discrete_frechet_distance,additive,original_target_vertices,state_limit,,1499,2,82,49836598,,,54,,,,1e-06,0.795539,
1998e5,1955e3,13.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,742.654591619,775,2,49,2886295,True,33,54,0.611111111111,4.60357953944,24.1660919472,1e-06,55.151254,
1998e5,1955e3,13.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,705.442435972,614,2,25,1011243,True,44,54,0.814814814815,5.08840924502,22.5610283454,1e-06,25.933807,
1998e5,1955e5,13.0,discrete_frechet_distance,additive,target_junctions,ok,2342.55918695,207,2,7,11096,False,0,54,0,0,0,1e-06,1.981022,
1998e5,1955e5,13.0,discrete_frechet_distance,additive,original_target_vertices,ok,1105.12273866,1039,2,44,7006728,True,49,54,0.907407407407,20.6469999878,148.28435521,1e-06,113.880110,
1998e5,1955e5,13.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,1539.26879869,291,2,11,47804,True,34,54,0.62962962963,16.6681491316,148.28435521,1e-06,4.839392,
1998e5,1955e5,13.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,1067.05526661,332,2,14,82245,True,49,54,0.907407407407,20.5875537275,148.28435521,1e-06,5.947344,
2014e3,1955e3,12.0,discrete_frechet_distance,additive,target_junctions,ok,6614.44946539,1947,2,17,2106958,False,0,317,0,0,0,1e-06,62.258373,
2014e3,1955e3,12.0,discrete_frechet_distance,additive,original_target_vertices,state_limit,,7737,2,79,3644123246,,,317,,,,1e-06,0.779344,
2014e3,1955e3,12.0,discrete_frechet_distance,additive,uniform_target_subdivision,state_limit,,3883,2,48,63371747,,,317,,,,1e-06,0.667519,
2014e3,1955e3,12.0,discrete_frechet_distance,additive,adaptive_closest_points,state_limit,,3794,3,25,67415297,,,317,,,,1e-06,3.317306,
2014e5,1955e5,12.0,discrete_frechet_distance,additive,target_junctions,ok,2169.43135669,181,2,6,5750,False,0,51,0,0,0,1e-06,1.662474,
2014e5,1955e5,12.0,discrete_frechet_distance,additive,original_target_vertices,ok,1077.82725994,857,2,44,2937712,True,47,51,0.921568627451,17.7288621626,83.7436564762,1e-06,73.487262,
2014e5,1955e5,12.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,1802.18788116,256,2,11,22754,True,32,51,0.627450980392,9.58849231601,56.6666666667,1e-06,4.187601,
