source,target,rho,cost,aggregation,candidate_mode,status,objective_value,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,mapping_changed_vs_target_junctions,changed_source_vertices,source_vertices,changed_source_fraction,mean_mapped_point_displacement,maximum_mapped_point_displacement,coordinate_tolerance,elapsed_seconds,error
1955e5,1955e3,10.0,discrete_frechet_distance,additive,target_junctions,ok,119.216331349,454,2,14,218899,False,0,70,0,0,0,1e-06,13.154420,
1955e5,1955e3,10.0,discrete_frechet_distance,additive,original_target_vertices,ok,169.072437327,1109,1,25,6458981,True,4,70,0.0571428571429,0.0955173633576,4.27200187266,1e-06,121.339713,
1955e5,1955e3,10.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,119.216331349,550,1,25,511999,False,0,70,0,0,0,1e-06,25.985523,
1955e5,1955e3,10.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,116.332162093,261,1,11,21443,True,1,70,0.0142857142857,0.0142857142857,1,1e-06,7.728714,
1998e5,1998e3,10.0,discrete_frechet_distance,additive,target_junctions,ok,81.7386180754,339,2,13,77396,False,0,54,0,0,0,1e-06,7.125294,
1998e5,1998e3,10.0,discrete_frechet_distance,additive,original_target_vertices,ok,128.0780406,746,4,25,1787043,True,4,54,0.0740740740741,0.104037666458,2.5,1e-06,67.808979,
1998e5,1998e3,10.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,67.6803598366,378,1,25,64584,True,1,54,0.0185185185185,0.0569107682549,3.07318148576,1e-06,15.819124,
1998e5,1998e3,10.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,81.7386180754,170,1,10,2893,False,0,54,0,0,0,1e-06,4.831077,
2014e5,2014e3,10.0,discrete_frechet_distance,additive,target_junctions,ok,60.3840712463,339,2,14,51667,False,0,51,0,0,0,1e-06,7.147032,
2014e5,2014e3,10.0,discrete_frechet_distance,additive,original_target_vertices,ok,116.485283796,822,1,25,1745089,True,3,51,0.0588235294118,0.0686274509804,2.5,1e-06,66.848447,
2014e5,2014e3,10.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,60.3840712463,411,1,19,89157,False,0,51,0,0,0,1e-06,15.467679,
2014e5,2014e3,10.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,60.3840712463,222,1,12,9351,False,0,51,0,0,0,1e-06,5.399481,
2014e5,1955e5,12.5,discrete_frechet_distance,additive,target_junctions,ok,2169.43135669,191,2,6,8466,False,0,51,0,0,0,1e-06,1.752423,
2014e5,1955e5,12.5,discrete_frechet_distance,additive,original_target_vertices,ok,1073.72120952,747,2,25,1669673,True,48,51,0.941176470588,18.2111534377,83.7436564762,1e-06,53.432063,
2014e5,1955e5,12.5,discrete_frechet_distance,additive,uniform_target_subdivision,empty_domains,,119,0,7,1787,,,51,,,,1e-06,0.122706,
2014e5,1955e5,12.5,discrete_frechet_distance,additive,adaptive_closest_points,ok,1071.45994131,147,1,8,2621,True,48,51,0.941176470588,18.467208014,84.9293824303,1e-06,2.473374,
2014e5,1955e3,10.0,discrete_frechet_distance,additive,target_junctions,ok,931.143823114,296,2,15,31277,False,0,51,0,0,0,1e-06,6.351525,
2014e5,1955e3,10.0,discrete_frechet_distance,additive,original_target_vertices,ok,720.364209037,717,2,25,1178091,True,49,51,0.960784313725,7.31560438903,29.1547594742,1e-06,70.078724,
2014e5,1955e3,10.0,discrete_frechet_distance,additive,uniform_target_subdivision,ok,739.972255663,332,1,25,50172,True,39,51,0.764705882353,6.65426488005,20.6182227923,1e-06,15.566048,
2014e5,1955e3,10.0,discrete_frechet_distance,additive,adaptive_closest_points,ok,717.354599591,258,1,13,21136,True,42,51,0.823529411765,5.99196350518,20.5182845287,1e-06,7.194174,
1998e3,1955e3,12.5,discrete_frechet_distance,additive,target_junctions,ok,6355.66800346,2210,2,17,6457753,False,0,321,0,0,0,1e-06,85.218868,
1998e3,1955e3,12.5,discrete_frechet_distance,additive,original_target_vertices,empty_domains,,6313,0,25,1105262916,,,321,,,,1e-06,0.651061,
1998e3,1955e3,12.5,discrete_frechet_distance,additive,uniform_target_subdivision,empty_domains,,2974,0,25,46814040,,,321,,,,1e-06,0.545669,
1998e3,1955e3,12.5,discrete_frechet_distance,additive,adaptive_closest_points,empty_domains,,3493,0,25,62902206,,,321,,,,1e-06,3.240553,
